n	radius_squared	x	y
198	476962890625/4	1/2	0
199	2953032929419625/722	13/38	11/38
200	303460625/2	1/2	1/2
201	43154717100625/98	5/14	5/14
202	812579530914125/722	11/38	11/38
203	190937814900625/98	3/14	3/14
204	286823301259625/722	1/2	7/38
205	286823301259625/722	9/38	5/38
206	381121372906625/722	3/38	3/38
207	35145037305625/98	3/14	3/14
208	53955078125/2	1/2	1/2
209	3124267735818125/484	5/11	7/22
210	128970765625/4	1/2	0
211	22729764353245625/1458	11/54	1/18
212	19645431593125/242	1/2	7/22
213	28663006750625/242	3/22	1/22
214	19645431593125/242	9/22	1/22
215	2780311654810625/484	3/11	3/22
216	35409725/2	1/2	1/2
217	12471868375461625/1682	23/58	13/58
218	427810418136725/256	7/16	1/8
219	11443260674392625/1682	25/58	5/58
220	278916015625/2	1/2	1/2
221	12471868375461625/1682	15/58	3/58
222	160527332558125/98	1/2	3/14
223	19157818432410125/1682	27/58	7/58
224	100140625/2	1/2	1/2
225	4338576555625/18	1/6	1/6
226	251487834138125/98	1/2	1/14
227	25527273812106625/1458	25/54	13/54
228	160527332558125/98	1/14	1/14
229	1088047736253725/722	11/38	3/38
230	745740583275025/722	1/38	1/38
231	745740583275025/722	17/38	13/38
232	1088047736253725/722	1/2	15/38
233	28180633321563125/1058	13/46	1/46
234	74507479087925/98	3/14	3/14
235	5032128994140625/242	7/22	1/22
236	594633673343125/256	7/16	3/8
237	40470068238705625/1922	23/62	11/62
238	12356976472075625/1058	11/46	7/46
239	12356976472075625/1058	13/46	1/46
240	52073125/2	1/2	1/2
241	40470068238705625/1922	27/62	13/62
242	221487865284725/98	1/2	1/14
243	1405801492225/18	1/6	1/6
244	221487865284725/98	5/14	5/14
245	58798776758223125/1922	23/62	9/62
246	63868981308925/98	1/2	5/14
247	38907086292934925/1682	23/58	17/58
248	43399044203125/98	3/14	3/14
249	42404352476569525/1682	23/58	9/58
250	1490902050625/4	1/2	0
251	65136582670194425/1682	19/58	17/58
252	763140625/2	1/2	1/2
253	7228810302507625/484	5/22	1/11
254	2647341696390625/256	1/16	0
255	239674265436125/242	7/22	1/22
256	29641625/2	1/2	1/2
257	23599380210468725/722	13/38	3/38
258	239674265436125/242	5/22	5/22
259	5036302843213525/722	5/38	1/38
260	6972900390625/2	1/2	1/2
261	15584773978587125/1058	9/46	7/46
262	8123096113127125/484	1/2	4/11
263	124559108655786025/1458	17/54	11/54
264	28056640625/2	1/2	1/2
265	13599340683774625/484	4/11	1/22
266	707557593608125/242	1/2	5/22
267	707557593608125/242	7/22	3/22
268	55059466645625/98	1/14	1/14
269	6384765267765625/722	9/38	3/38
270	25672050625/4	1/2	0
271	2918151732218125/256	3/16	1/8
272	55059466645625/98	1/2	3/14
273	2633454002245625/144	5/12	1/3
274	57216303371963125/1682	1/58	1/58
275	57216303371963125/1682	23/58	13/58
276	50342891275625/98	1/2	1/14
277	121761707585513125/1682	21/58	11/58
278	81546831685710625/1682	17/58	9/58
279	878625932640625/98	1/14	1/14
280	7586515625/2	1/2	1/2
281	421343429550389125/3698	5/86	1/86
282	1078867927515625/98	1/2	5/14
283	4773445372515625/98	1/14	1/14
284	3587025813607925/256	7/16	1/8
285	1078867927515625/98	3/14	3/14
286	36082371298460825/1058	1/2	15/46
287	36082371298460825/1058	11/46	9/46
288	77068225/2	1/2	1/2
289	36082371298460825/1058	19/46	5/46
290	36082371298460825/1058	3/46	3/46
291	43990836240589225/1058	15/46	7/46
292	3587025813607925/256	7/16	3/8
293	85384329647391125/1682	19/58	9/58
294	21796059390625/4	1/2	0
295	85384329647391125/1682	21/58	1/58
296	676470050140625/242	9/22	9/22
297	401125791015625/18	1/6	1/6
298	491135789828125/242	5/22	1/22
299	716575168765625/242	7/22	5/22
300	5158830625/2	1/2	1/2
301	140508909282015625/722	5/38	3/38
302	17896029867600625/256	1/2	7/16
303	51601463557515625/722	9/38	1/38
304	293377538813125/98	1/2	1/14
305	8453293950894325/722	15/38	5/38
306	4954577847786125/722	1/2	5/38
307	3728702916375125/722	3/38	1/38
308	3728702916375125/722	9/38	9/38
309	128720796884473625/722	5/38	1/38
310	8453293950894325/722	7/38	7/38
311	67996703418873125/484	2/11	1/22
312	701416015625/2	1/2	1/2
313	31772725539568325/722	15/38	7/38
314	6287195853453125/98	1/2	5/14
315	108464413890625/18	1/6	1/6
316	6287195853453125/98	3/14	3/14
317	36144051512538125/484	9/22	4/11
318	1198371327180625/242	9/22	9/22
319	66550757873348125/1058	15/46	3/46
320	148208125/2	1/2	1/2
321	1198371327180625/242	7/22	5/22
322	7120290226612225/256	1/2	1/16
323	36144051512538125/484	3/22	1/11
324	1026882025/2	1/2	1/2
325	325682913350972125/1682	23/58	13/58
326	7120290226612225/256	1/16	0
327	212021762382847625/1682	21/58	17/58
328	116726069288725/98	1/14	1/14
329	194535431464674625/1682	21/58	13/58
330	80606728515625/4	1/2	0
331	341009168096900225/1682	15/58	11/58
332	14865841833578125/256	3/16	1/8
333	5939511304650625/98	3/14	3/14
334	325682913350972125/1682	1/58	1/58
335	10156915781325625/64	3/8	0
336	1301828125/2	1/2	1/2
337	60610794074871625/484	3/22	1/11
338	62835043398720125/484	1/2	2/11
339	7293147190005625/98	5/14	5/14
340	286823301259625/242	9/22	5/22
341	556062330962125/242	9/22	5/22
342	349688682357625/242	5/22	3/22
343	62835043398720125/484	1/11	1/22
344	286823301259625/242	3/22	3/22
345	12677589915675425/722	17/38	7/38
346	12677589915675425/722	5/38	3/38
347	18496811516313325/722	9/38	1/38
348	37617111061266425/722	1/2	3/38
349	1659272797786930625/3698	31/86	3/86
350	37272551265625/4	1/2	0
351	3948896391660025/98	1/14	1/14
352	62587890625/2	1/2	1/2
353	2476145559774342625/2116	19/46	6/23
354	13786906247050625/144	5/12	1/3
355	201897903997577125/484	5/22	2/11
356	4341640382080625/144	5/12	1/3
357	52309987319890625/722	13/38	1/38
358	10695260453418125/256	3/8	3/16
359	35852912657453125/722	13/38	3/38
360	885243125/2	1/2	1/2
361	687991160057995625/1922	25/62	3/62
362	10695260453418125/256	3/16	1/8
363	3948896391660025/64	3/8	0
364	4341640382080625/144	1/3	1/12
365	426921648236955625/1682	19/58	15/58
366	3948896391660025/64	1/2	3/8
367	426921648236955625/1682	11/58	1/58
368	189219832725625/98	1/2	5/14
369	2363152308430225/98	5/14	5/14
370	522859097278968125/1682	27/58	27/58
371	714733995362993125/1682	19/58	17/58
372	1258572281890625/98	1/2	5/14
373	17688939840203125/242	9/22	7/22
374	17688939840203125/242	1/2	3/22
375	1253848624575625/18	1/6	1/6
376	1376486666140625/98	1/2	1/14
377	72953793305453125/256	1/8	1/16
378	641801265625/4	1/2	0
379	72953793305453125/256	3/8	1/16
380	1376486666140625/98	5/14	5/14
381	180411856492304125/1058	15/46	7/46
382	122889775142629625/484	9/22	2/11
383	298714713208569125/1058	11/46	5/46
384	243061325/2	1/2	1/2
385	449883123223833325/1058	17/46	7/46
386	122889775142629625/484	7/22	1/11
387	8537904570372125/162	1/6	1/18
388	122889775142629625/484	1/2	4/11
389	186343205198900425/722	7/38	1/38
390	219954181202946125/1058	1/2	17/46
391	939948399532971725/722	15/38	9/38
392	1282121140625/2	1/2	1/2
393	339748072733199325/1058	21/46	1/46
394	2117504847148362425/1458	1/2	25/54
395	11726770671999768125/3698	41/86	13/86
396	476962890625/2	1/2	1/2
397	3190909226513328125/1458	1/6	5/54
398	463626169918881125/722	1/2	5/38
399	49675883128600625/242	5/22	3/22
400	8800358125/2	1/2	1/2
401	398638179230890625/722	9/38	3/38
402	1596724532723125/98	1/2	3/14
403	108541009552015625/722	3/38	1/38
404	5537196632118125/98	3/14	3/14
405	35145037305625/18	1/6	1/6
406	5537196632118125/98	1/2	5/14
407	2476145559774342625/1444	17/38	7/19
408	1596724532723125/98	1/14	1/14
409	25527273812106625/722	3/38	1/38
410	25527273812106625/722	9/38	9/38
411	42266469754471625/722	17/38	7/38
412	68982968496099125/722	1/2	3/38
413	1060108811914238125/1682	25/58	3/58
414	1862686977198125/98	1/14	1/14
415	2309480256990798125/1682	13/58	9/58
416	1564697265625/2	1/2	1/2
417	5641527512475564125/3698	11/86	9/86
418	428024679807083125/484	7/22	3/11
419	463626169918881125/722	15/38	3/38
420	128970765625/2	1/2	1/2
421	7234429398351017525/3698	11/86	7/86
422	303053970374358125/484	4/11	1/22
423	6437978455413290825/3698	19/86	13/86
424	1434116506298125/242	1/22	1/22
425	314175216993600625/484	2/11	3/22
426	1748443411788125/242	9/22	1/22
427	2780311654810625/242	9/22	3/22
428	1434116506298125/242	9/22	3/22
429	2204787142264825625/1458	17/54	5/18
430	314175216993600625/484	5/22	0
431	303053970374358125/484	5/11	3/22
432	1310159825/2	1/2	1/2
433	1777720930748491625/1682	17/58	11/58
434	1858308387943782125/1682	27/58	27/58
435	3770191557117816025/1922	29/62	21/62
436	31230160523980925/256	5/16	1/8
437	1705045840484501125/1682	9/58	5/58
438	1109996285416084625/1682	17/58	11/58
439	1109996285416084625/1682	13/58	3/58
440	4741572265625/2	1/2	1/2
441	1359433652925317125/1682	13/58	7/58
442	1359433652925317125/1682	15/58	15/58
443	1858308387943782125/1682	17/58	3/58
444	8507948625580625/98	1/2	1/14
445	903601287813453125/484	5/11	7/22
446	1663768946833703125/1058	21/46	21/46
447	29959283179515625/242	9/22	3/22
448	3705203125/2	1/2	1/2
449	1663768946833703125/1058	17/46	15/46
450	4338576555625/4	1/2	0
451	903601287813453125/484	2/11	1/22
452	9305049863110625/98	1/14	1/14
453	2810007882440546125/1458	13/54	1/54
454	2476145559774342625/1458	23/54	5/54
455	413045432014388225/722	13/38	7/38
456	8507948625580625/98	5/14	5/14
457	2476145559774342625/1458	25/54	19/54
458	109892821361626225/722	1/2	1/38
459	2810007882440546125/1458	11/54	7/54
460	63387949578377125/722	3/38	3/38
461	63387949578377125/722	13/38	1/38
462	66370911911477225/722	1/2	11/38
463	109892821361626225/722	17/38	15/38
464	196936640261924225/722	17/38	17/38
465	12380727798871713125/3698	21/86	7/86
466	13912364227598110625/3698	37/86	25/86
467	12380727798871713125/3698	39/86	1/86
468	11924072265625/2	1/2	1/2
469	447859480478515625/242	7/22	1/22
470	306959868642578125/242	7/22	3/22
471	182328679750140625/98	3/14	3/14
472	22729764353245625/144	1/3	1/12
473	22934790840532845625/3698	39/86	17/86
474	690463169615805625/484	2/11	1/22
475	253922894533140625/64	1/8	0
476	89675645340198125/256	3/16	1/8
477	42689522851860625/162	7/18	1/18
478	902059282461520625/1058	15/46	15/46
479	3108118068203793125/1058	19/46	17/46
480	1926705625/2	1/2	1/2
481	902059282461520625/1058	9/46	1/46
482	902059282461520625/1058	21/46	3/46
483	1099770906014730625/1058	17/46	11/46
484	8195051015534825/98	1/14	1/14
485	206488416571754525/256	3/8	5/16
486	1405801492225/4	1/2	0
487	206488416571754525/256	5/16	1/8
488	8195051015534825/98	1/2	3/14
489	271877791191838325/144	1/6	1/12
490	6299061163890625/4	1/2	0
491	7914510993058353125/1682	21/58	19/58
492	3385056009373025/98	1/2	3/14
493	3773987370414687725/1682	15/58	3/58
494	3773987370414687725/1682	21/58	5/58
495	3773987370414687725/1682	23/58	13/58
496	4730495818140625/98	1/2	3/14
497	61938607862594328125/3698	39/86	33/86
498	344672656176265625/144	1/3	1/12
499	6318248519008859225/1682	19/58	7/58
500	1490902050625/2	1/2	1/2
501	10962641964753578125/1024	3/32	1/16
502	267381511335453125/256	1/8	1/16
503	1210341320855941625/484	4/11	1/22
504	22131078125/2	1/2	1/2
505	10587524235741812125/1458	7/54	5/54
506	267381511335453125/256	3/8	1/16
507	1137688500436860125/1058	13/46	11/46
508	108541009552015625/144	5/12	1/3
509	787940322973331125/484	5/11	5/22
510	17496221376837125/242	9/22	7/22
511	5641527512475564125/1458	17/54	5/18
512	1215306625/2	1/2	1/2
513	21331009623815125/242	7/22	1/22
514	2383537401257341225/722	1/2	17/38
515	787940322973331125/484	3/11	1/22
516	17496221376837125/242	1/2	3/22
517	536407533973086425/722	15/38	5/38
518	367650107554587325/722	15/38	1/38
519	367650107554587325/722	7/38	5/38
520	118539306640625/2	1/2	1/2
521	1210341320855941625/484	5/11	3/22
522	1698740363665996625/1058	1/2	5/46
523	28207637562377820625/3698	29/86	13/86
524	1112864167498416125/484	1/22	0
525	31346215614390625/18	1/6	1/6
526	28207637562377820625/3698	1/2	35/86
527	42118253346564143125/3698	25/86	7/86
528	813642578125/2	1/2	1/2
529	37481381418502035625/3698	31/86	13/86
530	1863109673677123625/484	2/11	1/22
531	16948040032281060625/1058	9/46	3/46
532	43161013210095625/242	3/22	3/22
533	62972625831123125/242	7/22	3/22
534	43161013210095625/242	9/22	5/22
535	7045814395442688125/1058	13/46	3/46
536	2918151732218125/98	5/14	5/14
537	466087864546890625/722	17/38	7/38
538	466087864546890625/722	5/38	3/38
539	680029835158578125/722	9/38	1/38
540	25672050625/2	1/2	1/2
541	17266703799534645625/1922	21/62	1/62
542	178007255665305625/256	1/2	5/16
543	36004279325392763125/1922	27/62	15/62
544	2918151732218125/98	1/2	1/14
545	8888604653742458125/1682	13/58	5/58
546	160640694136983125/144	1/6	1/12
547	6797168264626585625/1682	25/58	1/58
548	5549981427080423125/1682	13/58	5/58
549	5549981427080423125/1682	23/58	19/58
550	6797168264626585625/1682	9/58	9/58
551	9291541939718910625/1682	25/58	13/58
552	5487375149043125/98	3/14	3/14
553	8888604653742458125/1682	23/58	19/58
554	32189892277066454125/3698	19/86	15/86
555	36172146991755087625/3698	25/86	15/86
556	12150477921170883125/1682	1/2	1/58
557	36172146991755087625/3698	37/86	13/86
558	46567174429953125/98	5/14	5/14
559	32189892277066454125/3698	33/86	23/86
560	220008953125/2	1/2	1/2
561	1241897078215015625/242	7/22	3/22
562	36172146991755087625/3698	29/86	3/86
563	44536700273749477625/3698	15/86	5/86
564	39918113318078125/98	5/14	5/14
565	14050039412202730625/1458	11/54	1/6
566	138429915802953125/98	1/2	3/14
567	878625932640625/18	1/6	1/6
568	261852884393378525/256	5/16	1/8
569	12380727798871713125/1458	7/18	13/54
570	39918113318078125/98	1/2	1/14
571	14050039412202730625/1458	25/54	1/18
572	3563803479136259125/484	7/22	3/11
573	3211331045563013425/1058	17/46	5/46
574	3644319501144543325/1058	9/46	9/46
575	3644319501144543325/1058	15/46	11/46
576	3159797225/2	1/2	1/2
577	3644319501144543325/1058	19/46	13/46
578	3644319501144543325/1058	1/2	1/46
579	3211331045563013425/1058	9/46	7/46
580	3563803479136259125/484	5/22	2/11
581	12722265117461277625/1682	27/58	13/58
582	4267111115337154825/1058	15/46	15/46
583	9306891931565632625/1682	27/58	11/58
584	261852884393378525/256	3/8	5/16
585	8623817294386503625/1682	27/58	23/58
586	8623817294386503625/1682	7/58	7/58
587	13246894606841124125/1682	15/58	9/58
588	21796059390625/2	1/2	1/2
589	78347679344489409725/1458	25/54	5/18
590	12722265117461277625/1682	1/2	17/58
591	22690225415678361125/1682	23/58	5/58
592	68323475064203125/242	1/2	7/22
593	7576349259358953125/484	7/22	3/11
594	401125791015625/4	1/2	0
595	64211584297918890625/1458	7/54	1/54
596	35852912657453125/242	7/22	1/22
597	69507791370265625/242	7/22	1/22
598	43711085294703125/242	5/22	1/22
599	7854380424840015625/484	7/22	1/11
600	149606088125/2	1/2	1/2
601	83968994851124703125/1458	7/18	17/54
602	1807499016627663125/256	7/16	1/8
603	59078807710755625/98	3/14	3/14
604	3147689277008453125/722	1/2	9/38
605	3147689277008453125/722	17/38	1/38
606	98722409791500625/64	1/2	1/8
607	1017507615605430625/98	5/14	5/14
608	31978151730630625/98	3/14	3/14
609	98722409791500625/64	1/8	0
610	921409040647481425/722	1/2	17/38
611	25237237999697140625/484	5/11	3/22
612	59078807710755625/98	1/2	5/14
613	515650931004553825/722	11/38	9/38
614	331854559557386125/722	9/38	7/38
615	331854559557386125/722	11/38	3/38
616	801325712890625/2	1/2	1/2
617	35989054820964805625/1682	21/58	11/58
618	921409040647481425/722	15/38	11/38
619	49828189415185059125/1444	4/19	7/38
620	1530046205111872825/722	1/2	7/38
621	98722409791500625/98	5/14	5/14
622	9315548368385618125/484	5/22	2/11
623	163418822984668875325/3698	21/86	17/86
624	20341064453125/2	1/2	1/2
625	181213262425321645025/3698	19/86	9/86
626	4352863398920860525/722	15/38	15/38
627	109445633742025944025/3698	23/86	15/86
628	232626246577765625/98	5/14	5/14
629	122985299771967297925/3698	27/86	21/86
630	108464413890625/4	1/2	0
631	6051706604279708125/484	5/11	7/22
632	232626246577765625/98	1/2	1/14
633	151424780930748223925/3698	39/86	19/86
634	3939701614866655625/484	3/22	0
635	238205202850291760525/3698	15/86	11/86
636	87481106884185625/242	1/2	1/22
637	3939701614866655625/484	9/22	2/11
638	11247078080595833125/1058	19/46	19/46
639	106655048119075625/242	7/22	5/22
640	6076533125/2	1/2	1/2
641	11247078080595833125/1058	11/46	7/46
642	87481106884185625/242	5/22	3/22
643	3939701614866655625/484	7/22	1/11
644	519781186542692425/256	3/16	0
645	8493701818329983125/1058	13/46	5/46
646	719149312887834725/256	1/8	1/16
647	46260525602299625825/1922	21/62	7/62
648	37994634925/2	1/2	1/2
649	6051706604279708125/484	2/11	1/22
650	719149312887834725/256	3/8	1/16
651	112472652134199522425/1922	23/62	3/62
652	519781186542692425/256	1/2	3/16
653	31591242595044296125/1682	23/58	19/58
654	946884721047436925/144	5/12	1/6
655	309518194971792828125/3698	33/86	29/86
656	12723141552471025/98	1/2	1/14
657	18869936852073438625/1682	27/58	21/58
658	18869936852073438625/1682	3/58	1/58
659	18869936852073438625/1682	25/58	9/58
660	80606728515625/2	1/2	1/2
661	54183959875553340625/1682	25/58	23/58
662	23110372099730391125/1682	17/58	13/58
663	119347044066805140625/484	5/11	7/22
664	568244108831140625/144	5/12	1/3
665	44443023268712290625/1682	27/58	3/58
666	314794099146483125/98	1/14	1/14
667	3476230457396718125/242	3/22	1/22
668	2241891133504953125/256	3/8	1/16
669	27494272650368265625/1058	9/46	7/46
670	416433547034350625/64	1/2	1/8
671	22551482061538015625/1058	5/46	1/46
672	48167640625/2	1/2	1/2
673	52976083736305050425/1682	25/58	15/58
674	935786230827963125/98	1/2	5/14
675	5939511304650625/18	1/6	1/6
676	2241891133504953125/256	1/8	1/16
677	60411167698056222125/1458	5/18	11/54
678	269846446030208125/98	1/2	3/14
679	49828189415185059125/1458	17/54	5/18
680	25527273812106625/242	3/22	3/22
681	10619122334383701125/484	7/22	1/11
682	33919802188689625/242	9/22	7/22
683	60610794074871625/242	5/22	1/22
684	25527273812106625/242	9/22	5/22
685	44536700273749477625/1458	7/54	1/18
686	8608400945624657125/484	2/11	3/22
687	6849019730460493625/484	2/11	1/22
688	28969153427222125/242	1/2	5/22
689	1868177963147645825/722	7/38	5/38
690	1128305502495112825/722	1/2	9/38
691	1128305502495112825/722	13/38	11/38
692	1128305502495112825/722	17/38	1/38
693	24431207248673094025/722	3/38	1/38
694	1868177963147645825/722	1/2	13/38
695	187497826149923160625/3698	31/86	17/86
696	7260102434824420025/722	17/38	17/38
697	7021772344244599825/722	17/38	15/38
698	160949461385332270625/3698	33/86	11/86
699	160949461385332270625/3698	37/86	23/86
700	37272551265625/2	1/2	1/2
701	180860734958775438125/3698	25/86	23/86
702	10028144775390625/4	1/2	0
703	240321798506865993125/3698	9/86	1/86
704	2315751953125/2	1/2	1/2
705	18724551987197265625/242	9/22	5/22
706	222683501368747388125/3698	37/86	15/86
707	645911713626180925625/3698	41/86	19/86
708	841001281070088125/144	1/6	1/12
709	1042831038485341542125/5618	21/106	5/106
710	27660012847668066125/484	5/22	1/11
711	19857953462230203125/722	15/38	5/38
712	386405994005175625/144	5/12	0
713	68030184709264155625/1922	27/62	15/62
714	5283308719308953125/722	15/38	15/38
715	68030184709264155625/1922	17/62	13/62
716	780754013099523125/256	7/16	3/8
717	3190909226513328125/722	5/38	3/38
718	3190909226513328125/722	13/38	13/38
719	5283308719308953125/722	11/38	5/38
720	32753995625/2	1/2	1/2
721	47809141970460593125/1058	17/46	3/46
722	66735142525625575625/1922	11/62	11/62
723	94254788927945400625/1922	15/62	9/62
724	780754013099523125/256	7/16	1/8
725	68030184709264155625/1922	29/62	19/62
726	237656479450509925/98	1/2	3/14
727	68030184709264155625/1922	25/62	9/62
728	386405994005175625/144	1/12	0
729	2363152308430225/18	1/6	1/6
730	1180308834102299525/98	1/2	3/14
731	43119086471932518125/1682	21/58	7/58
732	237656479450509925/98	1/14	1/14
733	46534459657828163125/1682	15/58	9/58
734	63611325587306388125/1682	1/2	13/58
735	113451127078391805625/1682	21/58	3/58
736	21381841097995625/98	1/2	5/14
737	506524406083702170125/3698	39/86	7/86
738	125247072346801925/98	3/14	3/14
739	171016753538004894325/1682	23/58	13/58
740	3752768933354845625/64	1/2	3/8
741	279804448254500716625/3698	17/86	11/86
742	269899866015403346125/3698	19/86	1/86
743	250090701537208605125/3698	39/86	11/86
744	137184378726078125/98	1/14	1/14
745	250090701537208605125/3698	37/86	31/86
746	1079025330252390625/242	3/22	1/22
747	1574315645778078125/242	9/22	7/22
748	1079025330252390625/242	7/22	7/22
